text,sentiment
"
to the same scales as the soluble silica. 1 In what follows numerical **data** relating to the Chalk, unless otherwise stated, have been obtained from A. J. Jukes-Browne, Cretaceous Rocks of Britain, Mem. Geol. Surv. ; and from the papers on the White Chalk of the Knglish Coast in the Proc. Geol. Assoc. (1899-1903), by A. B. Rowe and CD. Sherborn.2 B. Moore, Trans. Geol. Physics Soc, 1917, p. 1. 
3 W. J. Sollas, The Age of the Earth, London, 1905, pp. 132-65. 
r-",yes
"BM-O and JO participated in the design of the study, patient evaluation, interpretation, and revision of data. DA-G and HC-M organized the data, also contributed to its interpretation as well as the writing of the first draft of the manuscript. GP-M contributed to **data** processing, statistical analysis, and **data** interpretation and wrote sections of the manuscript. All authors contributed to the article and approved the submitted version.",yes
"The findings from this systematic review highlight that EPA and DHA have differential effects on some cardiometabolic risk factors and that, to some degree, this effect is dependent on the study population. Both EPA and DHA are effective at lowering triglycerides, although there is evidence that DHA may lower triglycerides more than EPA. Whilst neither omega-3 PUFA alters total cholesterol to a great degree, DHA appears to increase HDL cholesterol, particularly the more cardioprotective HDL 2 subfraction, whilst EPA decreases HDL 3 cholesterol. DHA increases LDL cholesterol more than EPA, and more so in men than in women, and also increases LDL particle size, which may be less atherogenic. From the more limited trial **data** available, DHA may be more effective than EPA at lowering heart rate and blood pressure in normotensive individuals, whilst both EPA and DHA inhibited platelet function but had no effect on fibrinolytic function. Whilst inconsistent findings were reported for the effects of EPA and DHA on inflammatory markers and glycaemic control, both omega-3 PUFAs were able to lower oxidative stress, which is increased in certain subjects such as diabetics thereby increasing their risk of cardiovascular disease.",yes
Further information about the **data** logger and the geophones can be found in GFZ Potsdam web-page (http://www.gfz-potsdam.de/en/section/geophysical-deep-sounding/servicesinfrastructure/geophysical-in strument-pool-potsdam-gipp/instruments/seismicpool/).,yes
"(3) Digital elevation model (DEM), which was downloaded from the Geospatial Data Cloud Available online: http://www.gscloud.cn/ (accessed on 26 April 2020). In the above data, the DEM data, with a resolution of 30 m, can be extracted into slope and elevation. (4) The highway, the primary road and railroad **data** procured from OpenStreetMap Available online: http://www.openstreetmap.org (accessed on 13 July 2020). The population density **data** was provided by Landscan Available online: https://landscan.ornl.gov/ (accessed on 18 December 2020). (5) The 1000 m Normalized Difference Vegetation Index (NDVI) **data** and 30 m land use and land cover change (LUCC) **data** were obtained from the Data Centre for Resources and Environmental Sciences, Chinese Academy of Sciences (RESDC) Available online: http://www.resdc.cn (accessed on 26 April 2020). NDVI and LUCC **data** were obtained by remote sensing image processing. NDVI **data** was based on inversion of SPOT/VEGETATION and MODIS satellite remote sensing and LUCC **data** was generated by manual visual interpretation based on Landsat 8 remote sensing images. (6) China Nature Reserve, the earthquake and landslide vector **data** acquired from RESDC. China Nature Reserve are surface vector data, the rest are point vector data.",yes
"Similar findings have been recently obtained by Garcia-Muniesa [57], who analyzed **data** from a large-scale survey conducted in nine European countries (including Italy). Results demonstrate that having personally suffered worsened economic conditions during the global financial crisis of 2008 was associated with greater support for progressive taxation only for citizens whose economic prospects for the future had become pessimistic. Conversely, citizens who considered that the economic shock they had experienced in 2008 was temporary and were optimistic about the economic situation in the near future did not show support for progressive taxation. Overall, these findings show that only people who feel deprived and believe that things will get worse support redistribution, probably because they expect to benefit the most from redistributive policies.",maybe
"Author
Contributions: Conceptualization, C.L. and B.I.; methodology, C.L. and B.I.; software, C.L., and B.I.; validation, C.L., and B.I.; C.L. and B.I.; formal analysis, investigation, resources, and **data** curation, C.L.; writing-original draft preparation, C.L.; writing-review and editing, B.I.; visualization, C.L.; supervision, B.I. and F.L.; project administration and funding acquisition, A.A.-M. All authors have read and agreed to the published version of the manuscript.
",yes
"Second, the relatively small sample size might raise concerns about the generalizability and robustness of the research findings. To alleviate the common method bias, we collected **data** with the leader-member paired questionnaires, that is, in addition to employees' self-reports, the leaders were asked to evaluate their employees' innovative behaviors. However, the use of matched samples limited our ability to gather more valid responses from the headquarters of Guangdong to some extent. In the future, researchers could consider expanding the study by involving employees and leaders in other provinces or nations.",maybe
":
Conceptualization, M.A.K. and M.A.; methodology, M.A.K.; software, M.I.; validation, M.A.K., A.A. (Abdullah Alshememry), A.A. (Aws Alshamsan) and M.I.; formal analysis, M.A.K.; investigation, M.I.; resources, M.A.K and M.A.; **data** curation, M.A.K. and M.I.; writingoriginal draft preparation, M.A.K.; writing-review and editing, A.A. (Aws Alshamsan) and A.A. (Abdullah Alshememry); visualization, M.A.K.; supervision, A.A. (Aws Alshamsan); project administration, M.A.K., A.A. (Aws Alshamsan) and M.A.; funding acquisition, M.A.K., M.A. and A.A. (Aws Alshamsan). All authors have read and agreed to the published version of the manuscript. Funding: This project was funded by the National Plan for Science, Technology and Innovation (MAARIFAH), King Abdulaziz City for Science and Technology, Kingdom of Saudi Arabia, Award Number (2-17-03-001-0035).
",yes
"The findings of this study suggest that PC-QI implementation can leverage the high level of interest in their use, alignment with existing policy and initiatives in PCC measurement, and opportunities to integrate technology to support implementation. Despite this, organisational readiness to implement is variable across contexts; it will require resource investment, capacity development and sustained leadership engagement at all levels to support organisations to collect, use and report **data** on PCC. This study provides a foundational basis for identifying implementation strategies that will optimise PC-QI implementation and facilitate the incorporation of the patient perspective in improving their quality of care. Acknowledgements The authors are thankful for the contributions and support to this project by the Person-Centred Quality Indicators study team, especially Dr Paul Fairie, who provided advice on the development of the organisational readiness survey; Brian Steele, who supported the development of the survey on the Qualtrics platform; Farwa Naqvi, who provided support in confirming and identifying potential study participants through a web search of publicly available contact information; and Sandra Zelinsky, who we consulted on the development of our interview guide. We would also like to thank our collaborators who pretested the survey and interview guides for us (Canadian Institute for Health Information, Health Quality Council of Alberta and the Grey Nuns Family Medical Centre). The authors would also like to extend their gratitude to the quality improvement and person-centred care measurement staff and healthcare providers who participated in this study.",maybe
"Contributors KM, M-JS, BRH, CMS and MO'B contributed to the study concept, study design and interpretation of data, and provided critical review and revision of the manuscript for intellectual content. MO'B provided support in identifying and contacting potential interview participants in primary care. KM collected the survey and interview data. KM, CMS, MO'B and M-JS conducted **data** analysis. KM, M-JS, BRH, CMS and MO'B also provided their final approval of this publication and agree to be accountable for all aspects of the work to ensure both accuracy and integrity of this research. M-JS is the guarantor of this study, who accepts full responsibility for the work, had access to the **data** and controlled the decision to publish. Disclaimer CIHR played no role in the project.",yes
"Having a more widespread phenomenological analysis, case studies and relational researches will help us understand ideas of communication skills, self-esteem and attitude towards the teaching profession among music teaching students with a more detailed **data** acquisition and analysis. Also, with more specialized titles related to the topic, like for instance how Hughes [46] had had sub-topics like questioning abilities when analyzing communication skills, a more detailed contribution can be made to the field.
",yes
"The funders had no role in study design, **data** collection and analysis, decision to publish, or preparation of the manuscript. Table 1. Checklist used to guide cognitive interviewing.",maybe
